Order Priority,Discount offered,Unit Price,Freight Expenses,Freight Mode,Segment,Product Type,Product Sub-Category,Product Container,State,City,Region,Country,Order Date,Ship Date,Profit,QtyOrdered,Sales
High,0.05,11.34,5.01,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Krishnagiri,South,India,2011-12-31,2012-01-01,60.045,12,138.05
High,0.03,3.25,49.0,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Large Box,Uttar Pradesh,Nagina,North,India,2012-01-03,2012-01-07,-468.3976,3,26.55
High,0.04,60.98,19.99,Regular Air,Personel Usage,Processed Meat,Caviar,Small Box,Uttar Pradesh,Nagina,North,India,2012-01-03,2012-01-07,248.06399999999996,7,427.68
High,0.04,2.08,5.33,Regular Air,Personel Usage,Preserved Food,Marmalade,Small Box,Madhya Pradesh,Rewa,West,India,2012-01-04,2012-01-04,-147.376,29,68.48
High,0.09,8.67,3.5,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Punjab,Ludhiana,West,India,2012-01-04,2012-01-08,4714.848,6,50.75
Low,0.04,280.98,35.67,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Rajasthan,Alwar,West,India,2012-01-04,2012-01-09,3541.8516,10,2230.38
Critical,0.02,81.94,55.81,Delivery Truck,Restaurant Chain,Preserved Food,Pickle,Jumbo Box,Maharashtra,Wardha,West,India,2012-01-05,2012-01-06,-262.0864,1,95.48
High,0.0001,37.94,5.08,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Wrap Bag,Maharashtra,Wardha,West,India,2012-01-05,2012-01-07,108.8406,4,157.74
High,0.0001,6.37,5.19,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Uttar Pradesh,Ghaziabad,North,India,2012-01-06,2012-01-07,-115.6808,53,346.83
High,0.1,500.98,26.0,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Ghaziabad,North,India,2012-01-06,2012-01-08,1363.316,36,16718.7
Medium,0.03,29.18,8.55,Regular Air,Personel Usage,Preserved Food,Marmalade,Small Box,Uttar Pradesh,Ghaziabad,North,India,2012-01-08,2012-01-10,129.15200000000002,30,918.08
Medium,0.01,66.99,13.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Medium Box,Uttar Pradesh,Ghaziabad,North,India,2012-01-08,2012-01-09,66.546,32,1961.35
Medium,0.01,115.99,2.5,Express Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Ghaziabad,North,India,2012-01-08,2012-01-09,21.1716,13,1320.74
Low,0.1,4.89,4.93,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Andhra Pradesh,Vijayawada,South,India,2012-01-08,2012-01-12,-172.79399999999998,10,46.34
High,0.04,46.94,6.77,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Madhya Pradesh,Sidhi,West,India,2012-01-09,2012-01-09,1.416,2,95.42
High,0.06,16.74,5.08,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Uttar Pradesh,Varanasi ,North,India,2012-01-09,2012-01-16,-27.273400000000002,14,234.94
Low,0.05,122.99,70.2,Delivery Truck,Stand Alone Restaurants,Preserved Food,Sundried Tomatoes,Jumbo Drum,Uttar Pradesh,Varanasi ,North,India,2012-01-09,2012-01-11,-7.224,13,1630.34
Critical,0.01,130.98,54.74,Delivery Truck,Stand Alone Restaurants,Preserved Food,Pickle,Jumbo Box,Tamil Nadu,Arakkonam,South,India,2012-01-11,2012-01-13,-1021.9459999999999,13,1734.25
Critical,0.02,30.97,4.0,Regular Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Tamil Nadu,Arakkonam,South,India,2012-01-11,2012-01-11,-19.902,6,197.72
High,0.02,3.69,0.5,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Baghpat,North,India,2012-01-16,2012-01-16,6.168000000000001,13,49.43
High,0.1,4.28,1.6,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Bihar,Jhanjharpur,North,India,2012-01-19,2012-01-19,-21.0007,52,204.11
High,0.03,20.99,0.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Wrap Bag,Uttar Pradesh,Faizabad,North,India,2012-01-19,2012-01-21,1652.4969,4,69.22
Low,0.01,15.98,4.0,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Box,Rajasthan,Sikar,West,India,2012-01-21,2012-01-21,83.2692,7,120.68
Not Specified,0.09,258.98,54.31,Delivery Truck,Personel Usage,Preserved Food,Sundried Tomatoes,Jumbo Drum,Gujarat,Jamnagar,West,India,2012-01-21,2012-01-22,43.914,1,249.25
High,0.05,9.85,4.82,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Wrap Bag,Madhya Pradesh,Rewa,West,India,2012-01-23,2012-01-24,-17.568,46,444.46
High,0.02,3.69,0.5,Regular Air,Hotels / Hospitals,Processed Meat,Oysters (Clam),Small Box,Madhya Pradesh,Rewa,West,India,2012-01-24,2012-01-26,-0.048000000000000397,4,14.96
High,0.09,3.85,0.7,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Madhya Pradesh,Rewa,West,India,2012-01-24,2012-01-26,-2.544,4,15.69
High,0.05,4.82,5.24,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Haryana,Karnal,North,India,2012-01-26,2012-01-27,-75.12168,5,24.27
High,0.05,11.34,11.25,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Telangana,Nizamabad,South,India,2012-01-28,2012-02-01,-101.1964,5,59.33
Low,0.08,297.64,14.7,Delivery Truck,Personel Usage,Canned Foods,Sliced Pineapple,Jumbo Drum,West Bengal,Bolpur,East,India,2012-01-28,2012-02-01,-73.78139999999999,11,3253.09
Not Specified,0.08,7.38,5.21,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Box,Madhya Pradesh,Rewa,West,India,2012-01-30,2012-01-31,0.748,10,79.11
High,0.07,123.38,24.49,Regular Air,Stand Alone Restaurants,Processed Meat,Jelly Fish,Large Box,Uttar Pradesh,Gorakhpur,North,India,2012-01-31,2012-02-02,-117.25,4,497.63
Medium,0.06,95.99,4.9,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Kerala,Trivandrum,South,India,2012-02-01,2012-02-02,34.8,12,993.98
High,0.07,5.94,9.92,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Assam,Kokrajhar,East,India,2012-02-02,2012-02-04,-169.165,7,42.34
Not Specified,0.01,39.98,9.2,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Wrap Bag,Assam,Kokrajhar,East,India,2012-02-02,2012-02-03,30.242699999999996,1,43.83
Not Specified,0.02,194.3,11.54,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Large Box,Assam,Kokrajhar,East,India,2012-02-02,2012-02-02,1560.8627999999999,11,2262.12
High,0.07,6.98,9.69,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Assam,Kokrajhar,East,India,2012-02-02,2012-02-02,-197.13,6,41.48
High,0.06,8.67,3.5,Express Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Madhya Pradesh,Dewas,West,India,2012-02-03,2012-02-05,2.71,13,116.54
Not Specified,0.1,300.98,64.73,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Karnataka,Mysore,South,India,2012-02-04,2012-02-05,-63.406,3,834.22
Not Specified,0.06,500.97,69.3,Delivery Truck,Restaurant Chain,Canned Foods,Sliced Pineapple,Jumbo Drum,Orissa,Dhenkanal,East,India,2012-02-05,2012-02-06,626.058,1,522.27
High,0.09,21.38,8.99,Regular Air,Restaurant Chain,Processed Meat,Foie Gras,Small Pack,Orissa,Dhenkanal,East,India,2012-02-05,2012-02-05,-2519.09,8,164.27
Not Specified,0.01,28.99,8.59,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Medium Box,Orissa,Dhenkanal,East,India,2012-02-05,2012-02-05,7.656,5,129.0
Critical,0.08,400.97,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Uttar Pradesh,Gonda,North,India,2012-02-05,2012-02-07,-117.124,12,4780.84
Low,0.06,417.4,75.23,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Madhya Pradesh,Vidisha,West,India,2012-02-05,2012-02-09,9.930000000000064,11,4681.37
High,0.03,20.98,8.83,Express Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-02-06,2012-02-08,85.68,38,790.08
High,0.06,5.98,5.35,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,2012-02-06,2012-02-08,-61.9,35,214.58
High,0.03,20.98,8.83,Express Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Chhattisgarh,Bilaspur,North,India,2012-02-06,2012-02-08,787.2228,10,207.91
High,0.06,5.98,5.35,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Chhattisgarh,Bilaspur,North,India,2012-02-06,2012-02-08,1246.7459999999999,9,55.18
High,0.0001,4.98,5.02,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Sriperumbudur,South,India,2012-02-06,2012-02-06,4.302,1,7.0
High,0.05,3499.99,24.49,Regular Air,Hotels / Hospitals,Canned Foods,Wild Berry,Large Box,Telangana,Adilabad,South,India,2012-02-06,2012-02-08,-104.21530000000001,1,3457.99
High,0.1,35.48,35.0,Express Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Large Box,West Bengal,Balurghat,East,India,2012-02-07,2012-02-07,-1191.13,10,340.42
Not Specified,0.07,99.99,19.99,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,West Bengal,Bangaon,East,India,2012-02-07,2012-02-07,-95.52,3,307.29
High,0.08,30.98,8.99,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Small Pack,West Bengal,Bangaon,East,India,2012-02-07,2012-02-09,19.57,13,373.01
High,0.05,5.28,5.06,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,2012-02-08,2012-02-10,-75.25,47,257.25
High,0.05,5.28,5.06,Express Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Perambalur,South,India,2012-02-08,2012-02-10,-75.25,12,65.68
Critical,0.09,29.1,4.0,Express Air,Stand Alone Restaurants,Canned Foods,Assorted Fruits,Small Box,Andhra Pradesh,Eluru,South,India,2012-02-09,2012-02-10,-6.34,14,404.59
Critical,0.01,110.99,8.99,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Andhra Pradesh,Eluru,South,India,2012-02-09,2012-02-12,-186.67,3,282.49
Low,0.05,55.99,5.0,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Pack,Madhya Pradesh,Bhind,West,India,2012-02-10,2012-02-17,-211.695,13,588.91
High,0.0001,120.33,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Punjab,Anandpur Sahib,West,India,2012-02-10,2012-02-12,-64.78,1,134.96
Critical,0.06,205.99,8.99,Express Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Punjab,Anandpur Sahib,West,India,2012-02-10,2012-02-11,-620.829,2,343.3
Medium,0.0001,65.99,8.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Small Box,Madhya Pradesh,Dhar,West,India,2012-02-13,2012-02-15,-46.676,8,486.81
Medium,0.02,20.99,0.99,Regular Air,Personel Usage,Canned Foods,Quail Eggs,Wrap Bag,Madhya Pradesh,Dhar,West,India,2012-02-13,2012-02-15,-281.78639999999996,5,89.17
Not Specified,0.06,286.85,61.76,Delivery Truck,Hotels / Hospitals,Preserved Food,Jams,Jumbo Box,Andhra Pradesh,Narasaraopet,South,India,2012-02-13,2012-02-14,335.4642,5,1431.86
High,0.04,39.98,4.0,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Hamirpur,North,India,2012-02-17,2012-02-19,-79.18,3,116.14
High,0.0001,56.96,13.22,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Maharashtra,Kalyan,West,India,2012-02-18,2012-02-23,596.8086,14,864.94
Low,0.08,442.14,14.7,Delivery Truck,Hotels / Hospitals,Canned Foods,Sliced Pineapple,Jumbo Drum,Maharashtra,Kalyan,West,India,2012-02-18,2012-02-23,3867.6363,13,5605.27
High,0.02,6.75,2.99,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Rajasthan,Nagaur,West,India,2012-02-19,2012-02-21,13.905999999999999,4,29.37
Not Specified,0.03,243.98,43.32,Delivery Truck,Hotels / Hospitals,Preserved Food,Sundried Tomatoes,Jumbo Drum,Rajasthan,Nagaur,West,India,2012-02-19,2012-02-21,539.69,4,1026.24
High,0.08,100.98,57.38,Delivery Truck,Hotels / Hospitals,Preserved Food,Pickle,Jumbo Box,Tamil Nadu,Tenkasi,South,India,2012-02-20,2012-02-21,-1341.11,9,894.58
High,0.04,40.98,7.2,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Tamil Nadu,Thanjavur,South,India,2012-02-20,2012-02-21,275.5,12,483.59
High,0.07,3.28,0.98,Express Air,Stand Alone Restaurants,Processed Meat,Foie Gras,Wrap Bag,West Bengal,Bishnupur,East,India,2012-02-22,2012-02-24,3.9,5,17.33
High,0.08,55.98,4.86,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Amravati,West,India,2012-02-22,2012-02-28,-54.87,1,53.56
High,0.05,26.38,5.86,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Maharashtra,Amravati,West,India,2012-02-22,2012-02-26,130.6515,7,189.35
High,0.07,155.06,7.07,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Maharashtra,Amravati,West,India,2012-02-22,2012-02-26,738.3068999999999,7,1070.01
Critical,0.06,4.91,3.05,Regular Air,Stand Alone Restaurants,Preserved Food,Marmalade,Small Pack,Orissa,Jajapur,East,India,2012-02-22,2012-02-24,-126.09799999999998,5,25.77
High,0.01,12.97,1.49,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Tamil Nadu,Arani,South,India,2012-02-23,2012-02-25,65.496,8,104.78
High,0.05,3.34,7.49,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Andhra Pradesh,Amalapuram,South,India,2012-02-24,2012-02-27,-21.168,11,39.51
High,0.05,155.06,7.07,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Small Box,Rajasthan,Barmer,West,India,2012-02-26,2012-02-27,334.5141,11,1668.99
High,0.02,52.4,16.11,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Uttar Pradesh,Basti,North,India,2012-02-26,2012-02-26,0.852,2,107.31
High,0.07,4.98,8.33,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Faizabad,North,India,2012-02-26,2012-02-27,348.198,4,21.86
High,0.06,18.84,3.62,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Wrap Bag,Uttar Pradesh,Mirzapur,North,India,2012-02-26,2012-02-27,-99.66879999999999,5,90.44
High,0.0001,46.94,6.77,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Box,Uttar Pradesh,Mirzapur,North,India,2012-02-26,2012-02-26,-346.15,3,152.93
High,0.09,5.53,6.98,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-02-28,2012-02-29,-46.1265,10,59.09
High,0.1,2.21,1.12,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Madhya Pradesh,Rewa,West,India,2012-02-28,2012-02-29,-6.84,10,21.33
High,0.02,5.43,0.95,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Wrap Bag,Orissa,Cuttack,East,India,2012-02-28,2012-02-29,-556.5406,4,21.58
High,0.04,10.98,3.37,Regular Air,Stand Alone Restaurants,Processed Meat,Pacific Squid,Small Pack,Orissa,Cuttack,East,India,2012-02-28,2012-02-29,-137.63889999999998,1,11.95
High,0.05,8.01,2.87,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Wrap Bag,West Bengal,Diamond Harbour,East,India,2012-03-01,2012-03-04,31.0,7,56.23
Not Specified,0.07,205.99,2.5,Regular Air,Hotels / Hospitals,Canned Foods,Quail Eggs,Small Box,Kerala,Kozhikode,South,India,2012-03-02,2012-03-04,1489.8410999999999,13,2159.19
Critical,0.05,20.99,0.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Wrap Bag,Uttar Pradesh,Bijnor,North,India,2012-03-03,2012-03-05,150.16469999999998,12,217.63
High,0.05,6.48,5.84,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,2012-03-04,2012-03-07,-41.99,21,140.9
High,0.09,6.81,5.48,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-03-04,2012-03-06,-73.62299999999999,35,223.09
High,0.06,15.99,13.18,Regular Air,Stand Alone Restaurants,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-03-04,2012-03-05,-39.640499999999996,4,73.9
Critical,0.09,217.85,29.1,Delivery Truck,Personel Usage,Preserved Food,Jams,Jumbo Box,Assam,Abhayapuri,East,India,2012-03-07,2012-03-09,835.46,11,1803.62
Critical,0.05,209.37,69.0,Regular Air,Personel Usage,Preserved Food,Jams,Large Box,Assam,Abhayapuri,East,India,2012-03-07,2012-03-10,-344.82,2,347.95
High,0.01,5.8,5.59,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-03-08,2012-03-13,-106.421,46,273.05
High,0.08,11.7,5.63,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Bihar,Bhagalpur,North,India,2012-03-08,2012-03-10,-317.03,3,34.67
Not Specified,0.02,30.98,6.5,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,Bihar,Bhagalpur,North,India,2012-03-08,2012-03-09,-170.212,4,126.71
High,0.0001,12.28,4.86,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Tamil Nadu,Sivaganga,South,India,2012-03-10,2012-03-11,115.21619999999999,13,166.98
High,0.04,5.53,6.98,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Uttar Pradesh,Ghosi,North,India,2012-03-10,2012-03-11,501.90299999999996,8,45.81
High,0.1,55.98,13.88,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Ghosi,North,India,2012-03-10,2012-03-11,746.886,9,475.61
High,0.1,48.91,35.0,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Large Box,Tamil Nadu,Kanniyakumari,South,India,2012-03-11,2012-03-13,-140.21,8,368.85
High,0.1,387.99,19.99,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Kerala,Alleppey,South,India,2012-03-12,2012-03-14,179.59799999999998,6,2262.76
High,0.05,4.71,0.7,Regular Air,Hotels / Hospitals,Processed Meat,Tuna,Wrap Bag,Assam,Abhayapuri,East,India,2012-03-13,2012-03-15,-7.76,3,13.9
High,0.08,7.4,1.71,Regular Air,Personel Usage,Processed Meat,Smoked Salmon,Wrap Bag,Andhra Pradesh,Amalapuram,South,India,2012-03-15,2012-03-16,8.9046,5,36.22
High,0.09,599.99,24.49,Regular Air,Stand Alone Restaurants,Canned Foods,Wild Berry,Large Box,Uttar Pradesh,Firozabad,North,India,2012-03-15,2012-03-15,-10.346,14,8026.07
High,0.03,125.99,8.08,Regular Air,Stand Alone Restaurants,Canned Foods,Quail Eggs,Small Box,Uttar Pradesh,Firozabad,North,India,2012-03-15,2012-03-16,26.621999999999968,2,211.91
High,0.04,3.38,0.85,Regular Air,Hotels / Hospitals,Processed Meat,Foie Gras,Wrap Bag,Uttar Pradesh,Ghaziabad,North,India,2012-03-16,2012-03-16,26.09,35,123.62
High,0.1,15.7,11.25,Regular Air,Stand Alone Restaurants,Processed Meat,Fresh Water Eel,Small Box,Uttar Pradesh,Banda,North,India,2012-03-16,2012-03-16,-156.76,7,108.13
High,0.02,18.94,1.49,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Maharashtra,Osmanabad,West,India,2012-03-16,2012-03-18,4651.206,4,77.21
High,0.03,8.67,3.5,Regular Air,Restaurant Chain,Processed Meat,Jelly Fish,Small Box,Maharashtra,Pune,West,India,2012-03-18,2012-03-19,555.5699999999999,12,106.97
Not Specified,0.01,73.98,4.0,Regular Air,Restaurant Chain,Canned Foods,Assorted Fruits,Small Box,Maharashtra,Pune,West,India,2012-03-18,2012-03-20,-48.006,6,444.98
Not Specified,0.08,30.93,3.92,Regular Air,Restaurant Chain,Preserved Food,Marmalade,Small Pack,Maharashtra,Pune,West,India,2012-03-18,2012-03-20,-281.20259999999996,4,117.22
Not Specified,0.1,90.97,14.0,Delivery Truck,Restaurant Chain,Canned Foods,Sliced Pineapple,Jumbo Drum,Maharashtra,Pune,West,India,2012-03-18,2012-03-18,234.68399999999997,5,425.54
High,0.09,5.98,1.49,Express Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Madhya Pradesh,Rewa,West,India,2012-03-20,2012-03-22,87.601,56,342.87
High,0.08,2.61,0.5,Regular Air,Stand Alone Restaurants,Processed Meat,Oysters (Clam),Small Box,Uttar Pradesh,Baghpat,North,India,2012-03-21,2012-03-23,35.92,52,125.43
High,0.0001,11.58,6.97,Regular Air,Personel Usage,Processed Meat,Caviar,Small Box,Gujarat,Junagadh,West,India,2012-03-22,2012-03-22,-88.69,3,37.87
High,0.0001,7.77,9.23,Regular Air,Personel Usage,Processed Meat,Jelly Fish,Small Box,Gujarat,Surat,West,India,2012-03-22,2012-03-23,-17.806600000000003,10,83.3
High,0.09,3.58,5.47,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,West Bengal,Bolpur,East,India,2012-03-22,2012-03-24,-54.208,2,8.6
High,0.01,6.81,5.48,Regular Air,Hotels / Hospitals,Processed Meat,Bacon,Small Box,Andhra Pradesh,Vishakhapatnam,South,India,2012-03-23,2012-03-26,-183.34400000000002,10,68.9
Critical,0.03,15.98,4.0,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Box,Uttar Pradesh,Gorakhpur,North,India,2012-03-25,2012-03-27,-13.22748,7,113.92
High,0.1,30.98,5.09,Express Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Gorakhpur,North,India,2012-03-25,2012-03-27,-165.00400000000002,6,171.38
High,0.03,81.32,0.99,Regular Air,Hotels / Hospitals,Processed Meat,Jelly Fish,Small Box,Uttar Pradesh,Hardoi,North,India,2012-03-25,2012-03-28,-43.0353,1,81.25
High,0.1,3.36,6.27,Regular Air,Restaurant Chain,Processed Meat,Bacon,Small Box,Gujarat,Valsad,West,India,2012-03-27,2012-03-29,-310.49255999999997,11,36.61
High,0.05,4.98,4.86,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Gujarat,Valsad,West,India,2012-03-27,2012-03-28,225.882,7,35.53
Low,0.04,22.23,3.63,Regular Air,Hotels / Hospitals,Preserved Food,Marmalade,Small Pack,Uttar Pradesh,Ghaziabad,North,India,2012-03-28,2012-03-30,-10.74,1,26.68
High,0.05,6.81,5.48,Regular Air,Personel Usage,Processed Meat,Bacon,Small Box,Uttar Pradesh,Ghaziabad,North,India,2012-03-31,2012-04-01,-29.5895,13,90.88
High,0.02,4.98,8.33,Express Air,Personel Usage,Processed Meat,Smoked Salmon,Small Box,Gujarat,Anand,West,India,2012-03-31,2012-04-01,-42.61,3,19.78
Critical,0.08,26.64,5.3,Regular Air,Restaurant Chain,Preserved Food,Sundried Tomatoes,Medium Box,Madhya Pradesh,Rewa,West,India,2012-04-01,2012-04-02,90.04,32,813.66
High,0.0001,9.99,4.78,Regular Air,Restaurant Chain,Processed Meat,Smoked Salmon,Small Box,Madhya Pradesh,Rewa,West,India,2012-04-01,2012-04-02,74.73,53,571.93
High,0.07,3.55,1.43,Regular Air,Restaurant Chain,Processed Meat,Tuna,Wrap Bag,Madhya Pradesh,Rewa,West,India,2012-04-01,2012-04-02,27.37,47,169.19
High,0.02,40.98,1.99,Regular Air,Personel Usage,Canned Foods,Assorted Fruits,Small Pack,Tamil Nadu,Dharmapuri,South,India,2012-04-01,2012-04-01,-49.28,11,472.69
High,0.07,80.98,35.0,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Large Box,Bihar,Gopalganj,North,India,2012-04-04,2012-04-06,-1329.81,13,998.73
Medium,0.0001,115.99,2.5,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Bihar,Gopalganj,North,India,2012-04-04,2012-04-06,763.278,11,1106.2
High,0.01,150.98,13.99,Regular Air,Restaurant Chain,Canned Foods,Sliced Pineapple,Medium Box,Karnataka,Bidar,South,India,2012-04-05,2012-04-06,1157.1644999999999,11,1677.05
High,0.06,415.88,11.37,Regular Air,Restaurant Chain,Processed Meat,Fresh Water Eel,Small Box,Karnataka,Bidar,South,India,2012-04-05,2012-04-07,857.7735,3,1243.15
High,0.05,195.99,4.2,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Karnataka,Raichur,South,India,2012-04-05,2012-04-07,810.2669999999999,7,1174.3
High,0.06,1.26,0.7,Express Air,Hotels / Hospitals,Processed Meat,Tuna,Wrap Bag,Madhya Pradesh,Indore,West,India,2012-04-05,2012-04-05,-16.3,10,13.27
High,0.09,113.64,35.0,Regular Air,Personel Usage,Processed Meat,Fresh Water Eel,Large Box,Madhya Pradesh,Rewa,West,India,2012-04-06,2012-04-06,-609.09,22,2450.07
High,0.04,18.97,9.54,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Uttar Pradesh,Kairana,North,India,2012-04-07,2012-04-08,66.14,12,227.75
High,0.0001,6.48,8.19,Regular Air,Hotels / Hospitals,Processed Meat,Smoked Salmon,Small Box,Rajasthan,Banswara,West,India,2012-04-07,2012-04-11,-133.98,10,72.26
High,0.04,35.44,19.99,Regular Air,Stand Alone Restaurants,Processed Meat,Smoked Salmon,Small Box,Chhattisgarh,Raipur,North,India,2012-04-08,2012-04-08,-0.14000000000000057,9,321.01
Not Specified,0.03,22.23,5.08,Express Air,Restaurant Chain,Preserved Food,Marmalade,Small Pack,Bihar,Darbhanga,North,India,2012-04-08,2012-04-10,153.62159999999997,10,222.64
Not Specified,0.0001,65.99,8.99,Regular Air,Restaurant Chain,Canned Foods,Quail Eggs,Small Box,Bihar,Darbhanga,North,India,2012-04-08,2012-04-09,-159.236,2,117.46
Low,0.1,35.41,1.99,Regular Air,Hotels / Hospitals,Canned Foods,Assorted Fruits,Small Pack,Maharashtra,Wardha,West,India,2012-04-09,2012-04-16,-90.94,1,32.51
High,0.0001,16.74,7.04,Regular Air,Hotels / Hospitals,Processed Meat,Fresh Water Eel,Small Box,Maharashtra,Wardha,West,India,2012-04-09,2012-04-09,-142.75,9,155.59
